,Country,Tons of food scarcity,Tons of surplus food,Coordinates,GDP per Capita,Population,Infant Mortality Rate,Life Expectancy
36,Cayman Islands,0,2814,"19.703182249999998, -79.9174627243246",99624.88544,68706,,
37,Central African Republic,2932116,280760.5,"7.0323598, 19.9981227",427.0580962,5579144,75.4,53.895
38,Chad,0,943534.5,"15.6134137, 19.0156172",716.8043811,17723315,66,52.525
39,Chile,2266822,821873,"-31.7613365, -71.3187697",15355.47974,19603733,5.6,78.944
40,China,0,57035459,"35.000074, 104.999927",12720.21632,1412175000,5.1,78.211
41,"China, Hong Kong SAR",0,313126,"22.350627, 114.1849161",48983.62172,7346100,,85.49268293
42,"China, Macao SAR",0,26966,"22.1899448,113.5380454",34584.85909,695168,,85.399
43,Colombia,0,2166409.5,"4.099917, -72.9088133",6624.165393,51874024,11.1,72.83
44,Comoros,433697,49025,"-12.2045176, 44.2832964",1484.892465,836774,39.3,63.417
45,Congo,3414034,310001.5,"-2.9814344, 23.8222636",2649.225022,5970424,32,63.519
46,Costa Rica,549837,222277.5,"10.2735633, -84.0739102",13365.3564,5180829,6.2,77.023
47,Cote d'Ivoire,7745926,1481676,"7.9897371, -5.5679458",2486.412194,28160542,55.9,58.598
48,Croatia,315254,200492.5,"45.3658443, 15.6575209",18570.404,3855600,3.9,76.42439024
49,Cuba,0,499084.5,"23.0131338, -80.8328748",56496,11212191,4,73.683
50,Curaçao,0,7086,"12.21351355, -69.04089204044595",20501.75228,149996,,
51,Cyprus,0,64331,"34.9174159, 32.889902651331866",32048.24023,1251488,2.3,81.203
52,Czechia,412287,441891.5,"49.7439047, 15.3381061",27226.61564,10672118,2.2,77.37317073
55,Dem. Rep. of the Congo,45314666,5135164,"-2.9814344,23.8222636",653.6562231,99010212,62.4,59.193
57,Denmark,216277,320726,"55.670249, 10.3333283",67790.05399,5903037,3.1,81.40487805
58,Djibouti,362041,56094.5,"11.8145966, 42.8453061",3136.112768,1120849,45.9,62.305
59,Dominica,0,3162,"15.4113138, -61.3653618",8351.193213,72737,32,72.814
60,Dominican Republic,0,472904.5,"19.0974031, -70.3028026",10111.24571,11228821,27.3,72.615
61,Ecuador,4369007,765072,"-1.3397668, -79.3666965",6391.282484,18001000,10.7,73.67
62,Egypt,19803138,5353517,"26.2540493, 29.2675469",4295.407496,110990103,16.2,70.221
63,El Salvador,1975131,308882,"13.8000382, -88.9140683",5127.321668,6336392,10.7,70.748
64,Equatorial Guinea,0,72939,"1.613172, 10.5170357",7182.265382,1674908,57.2,60.594
65,Eritrea,0,206913.5,"15.9500319, 37.9999668",643.79,3684032,28.9,66.536
66,Estonia,70893,54493,"58.7523778, 25.3319078",28247.09599,1348840,1.6,76.74146341
67,Eswatini,533951,66149,"-26.5624806, 31.3991317",3986.886637,1201670,41.5,57.066
68,Ethiopia,44456372,6040086,"10.2116702, 38.6521203",1027.585911,123379924,34.3,64.975
69,Faroe Islands,0,2167,"62.0448724, -7.0322972",66979.27732,53090,,83.49756098
70,Fiji,119908,40652.5,"-18.1239696, 179.0122737",5356.164396,929766,23.3,67.114
71,Finland,328450,216406,"63.2467777, 25.9209164",50871.93045,5556106,1.8,81.93414634
72,France,2567918,3594963,"46.603354, 1.8883335",40886.25327,67971311,3.4,82.32439024
73,French Polynesia,0,12778,"-17.0243749, -144.6434898",18984.8511,306279,,79.486
74,Gabon,0,116864,"-0.8999695, 11.6899699",8820.347337,2388992,29.4,65.821
75,Gambia,1007719,138907,"13.470062, -15.4900464",808.2782815,2705992,34,62.083
76,Georgia,986292,233042,"32.3293809, -83.1137366",6674.95696,3712502,8.4,71.694
77,Germany,1968648,3381009.5,"51.1638175, 10.4478313",48717.99114,83797985,3,80.90097561
78,Ghana,7950168,1515537.5,"8.0300284, -1.0800271",2203.558935,33475870,32.6,63.795
79,Gibraltar,0,1636,"36.1285933, -5.3474761",92843,32649,,79.329
80,Greece,482512,780664,"43.2097838, -77.6930602",20867.26909,10426919,3.3,80.18292683
81,Greenland,0,2452,"35.9948477, -94.1796014",57116,56661,,71.14756098
82,Grenada,18614,4932,"12.1360374, -61.6904045",9689.0827,125438,14.4,74.936
83,Guam,0,7654,"13.45011745, 144.7577087765826",35905,171774,,76.656
84,Guatemala,6551387,774222.5,"15.5855545, -90.345759",5473.208564,17357886,19.6,69.237
85,Guinea,6533579,755637,"10.7226226, -10.7083587",1515.167948,13859341,63.8,58.892
86,Guinea-Bissau,1020513,113654.5,"11.815215, -15.2351044",775.8289657,2105566,50,59.652
87,Guyana,0,34471.5,"4.8417097, -58.6416891",18199.47484,808726,23.2,65.673
88,Haiti,6296475,556548.5,"19.1399952, -72.3570972",1748.257132,11584996,45.4,63.192
89,Honduras,3409263,466467.5,"15.2572432, -86.0755145",3040.173046,10432860,14.2,70.123
90,Hungary,697654,516371.5,"47.1817585, 19.5060937",18390.185,9643048,3.3,74.46585366
91,Iceland,15593,15085,"64.9841821, -18.1059013",73466.77867,44496122,20.7,70.378
92,India,0,45065625,"22.3511148, 78.6677428",2410.888021,1417173173,25.5,67.24
93,Indonesia,11010248,12585449,"-2.4833826, 117.8902853",4787.999308,275501339,18.9,67.57
94,Iran,24982453,3590817,"32.6475314, 54.5643516",4669.57138,88550570,10.9,73.875
96,Iraq,0,2674624,"33.0955793, 44.1749775",5937.195466,44496122,20.7,70.378
97,Ireland,217011,164812,"52.865196, -7.9794599",103983.2913,5127170,2.7,82.10243902
98,Isle of Man,0,3764.5,"54.1936805, -4.5591148",79530,84519,,80.525
99,Israel,839405,643196,"30.8124247, 34.8594762",54930.93881,9557500,2.7,82.5
100,Italy,2530262,2139679,"42.6384261, 12.674297",34776.42323,58940425,2.2,82.79512195
101,Jamaica,957608,129832,"18.1850507, -77.3947693",6047.216457,2827377,10.7,70.5
102,Japan,3212528,4627599.5,"36.5748441, 139.2394179",34017.27181,125124989,1.7,84.44560976
103,Jordan,3172061,548945,"44.6663146, -93.6261918",4311.000046,11285869,12.6,74.256
104,Kazakhstan,345897,847366,"48.1012954, 66.7780818",11492.03194,19621972,9.1,70.23
105,Kenya,24387829,2896889,"1.4419683, 38.4313975",2099.301938,54027487,28,61.427
106,Kiribati,34999,6271.5,"0.3448612, 173.6641773",1701.970665,131232,38.3,67.417
107,Kuwait,359082,225802,"29.3796532, 47.9734174",41079.5227,4268873,7.5,78.673
108,Kyrgyzstan,286228,342148.5,"42.4858224, 74.714583",1655.072698,6974900,15.6,71.9
110,Laos,1571109,365563.5,"20.0171109, 103.378253",2054.430781,7529475,34.2,68.061
111,Latvia,120368,84845,"56.8406494, 24.7537645",21779.50426,1879383,3.2,73.28292683
113,Lesotho,827705,122450.5,"-29.6039267, 28.3350193",969.9357602,2305825,57,53.062
114,Liberia,2767900,292132.5,"5.7499721, -9.3658524",754.5328429,5302681,56.7,60.747
115,Libya,1769616,309574,"26.8234472, 18.1236723",6716.095985,6812341,9.2,71.911
116,Liechtenstein,0,1605.5,"47.1416307, 9.5531527",197505,39327,,84.40243902
117,Lithuania,186561,122797.5,"55.3500003, 23.7499997",25064.80891,2831639,2.7,74.33902439
118,Luxembourg,11914,29692,"49.6112768, 6.129799",125006.0218,653103,2.2,82.74878049
119,Madagascar,11640769,1595700,"-18.9249604, 46.4416422",516.592616,29611714,45.3,64.485
120,Malawi,10633647,1102209.5,"-13.2687204, 33.9301963",645.1586921,20405317,31.2,62.904
121,Malaysia,3451139,2719888,"4.5693754, 102.2656823",11993.18761,33938221,6.5,74.884
122,Maldives,46531,22996.5,"3.7203503, 73.2244152",11780.81691,523787,5.1,79.918
123,Mali,0,1163110.5,"16.3700359, -2.2900239",833.2972551,22593590,61.6,58.941
124,Malta,18089,31227,"35.8885993, 14.4476911",34127.51056,531113,5.1,82.86097561
125,Marshall Islands,0,2686,"8.230816999999998, 167.7953223704529",6225.179222,41569,24.8,65.269
126,Mauritania,1375561,260751.5,"20.2540382, -9.2399263",2065.155516,4736139,32.2,64.364
127,Mauritius,247041,67446.5,"-20.2759451, 57.5703566",10256.23031,1262523,15.3,73.6802439
128,Mexico,22197751,6987337,"19.4326296, -99.1331785",11496.52287,127504125,11.4,70.213
129,Micronesia (Fed. States of),0,6069,"8.6062347,151.8327443",3713.955362,114164,21,70.71
130,Moldova,518486,185328.5,"47.2879608, 28.5670941",5714.430488,2538894,12.2,68.846
131,Monaco,0,1647.5,"43.7323492, 7.4276832",240862.1824,36469,1,
132,Mongolia,571485,150308,"43.9382593, -79.2235563",5045.5047,3398366,12.7,70.975
133,Montenegro,59445,30905,"-29.6826112, -51.4687455",10093.4387,617213,1.9,73.82439024
134,Morocco,7825715,1944975.5,"28.3347722, -10.371337908392647",3441.991455,37457971,15.4,74.042
135,Mozambique,15510394,1796673.5,"-19.302233, 34.9144977",558.2986064,32969518,51,59.325
136,Myanmar,9195468,2755703.5,"17.1750495, 95.9999652",1149.211218,54179306,33.7,65.672
137,Namibia,972802,134179.5,"-23.2335499, 17.3231107",5031.11503,2567012,29.4,59.269
138,Nauru,0,494,"-0.5252306, 166.9324426",11970.93828,12668,23.2,63.617
139,Nepal,7488302,1348429.5,"28.3780464, 83.9999901",1336.546047,30547580,22.8,68.45
140,Netherlands,517807,521461.5,"52.2434979, 5.6343227",57025.01246,17700982,3.5,81.46097561
141,New Caledonia,0,12938.5,"-20.63784275, 161.21176261225781",35745.18505,269220,,79.12734146
142,New Zealand,495358,153346,"-41.5000831, 172.8344077",48418.59166,5124100,3.9,82.20731707
143,Nicaragua,0,313280.5,"12.6090157, -85.2936911",2255.425995,6948392,11.4,73.837
144,Niger,0,1379231,"17.7356214, 9.3238432",585.4049292,26207977,59.5,61.576
145,Nigeria,82263284,20542293.5,"9.6000359, 7.9999721",2162.633734,218541212,70.6,52.676
54,North Korea,0,1235976.5,"40.3736611,127.0870417",654,26069416,10.1,73.284
146,North Macedonia,297819,102533,"41.6171214, 21.7168387",6591.471314,2057679,4.6,74.53682927
147,Northern Mariana Islands,0,2617,"15.1753648, 145.7379338",17303,49551,,
148,Norway,156150,248972.5,"64.5731537, 11.52803643954819",108729.1869,5457127,1.8,83.16341463
149,Oman,0,267016.5,"21.0000287, 57.0036901",25056.79486,4576298,8.7,72.541
150,Pakistan,49994643,9667388,"30.3308401, 71.247499",1588.879829,235824862,52.8,66.098
151,Palau,0,823.5,"42.5717989, 2.9600905",12921.8,18055,15.1,
153,Panama,0,184149.5,"8.559559, -81.1308434",17357.62863,4408581,11.9,76.223
154,Papua New Guinea,0,468013.5,"-5.6816069, 144.2489081",3115.922923,10142619,34.4,65.351
155,Paraguay,1130308,310217.5,"-23.3165935, -58.1693445",6153.055657,6780744,15.6,70.262
156,Peru,11352759,1431639,"-6.8699697, -75.0458515",7125.829931,34049588,11,72.377
157,Philippines,33169262,5512722.5,"12.7503486, 122.7312101",3498.509806,115559009,20.5,69.266
158,Poland,1919497,1302423.5,"52.215933, 19.134422",18688.00449,36821749,3.7,75.60243902
159,Portugal,806348,496398.5,"39.6621648,-8.1353519",24515.26585,10409704,2.5,81.07317073
160,Puerto Rico,0,127210,"18.2247706, -66.4858295",35208.63719,3221789,,80.162
161,Qatar,0,152003.5,"25.3336984, 51.2295295",87661.45015,2695122,4.5,79.272
164,Romania,1758532,800532.5,"45.9852129, 24.6859225",15786.80174,19047009,5.3,72.96097561
165,Russia,5406043,3434813,"64.6863136, 97.7453061",15270.70605,144236933,4.1,69.36121951
167,Rwanda,0,1136447,"-1.9646631, 30.0644358",966.2320714,13776698,29.7,66.072
168,Saint Kitts and Nevis,8651,2289.5,"17.250512, -62.6725973",20262.26714,47657,12.3,71.682
169,Saint Lucia,0,8050,"13.8250489, -60.975036",13030.92848,179857,22.4,71.111
170,Saint Martin (French part),0,1648,"18.0814066, -63.0467131",20321,31791,,80.379
172,Saint Vincent and the Grenadines,23518,4870.5,"12.90447, -61.2765569",9125.324771,103948,12.6,69.629
173,Samoa,34238,9003,"-13.7693895, -172.12005",19673.3901,44273,,
174,San Marino,0,1645.5,"43.9458623, 12.458306",54982,33660,1.5,
175,Sao Tome and Principe,80580,12393,"0.9713095, 7.02255",2386.696176,227380,12.1,67.591
176,Saudi Arabia,0,2133791,"25.6242618, 42.3528328",30447.88371,36408820,5.7,76.936
177,Senegal,5458435,938929.5,"14.4750607, -14.4529612",1598.726433,17316449,29.1,67.093
178,Serbia,700298,431697.5,"44.024322850000004, 21.07657433209902",9537.682867,6664449,4.7,72.73073171
179,Seychelles,0,5190,"-4.6574977, 55.4540146",13250.45583,119878,12,73.39756098
180,Sierra Leone,4818724,462285.5,"8.6400349, -11.8400269",475.7957278,8605718,78.3,60.062
181,Singapore,183501,269858,"1.357107, 103.8194992",82807.62906,5637022,1.7,83.44146341
182,Sint Maarten (Dutch part),0,1838.5,"18.0423736,-63.0549948",35873.05649,42848,,73.972
183,Slovakia,283611,225592,"48.7411522, 19.4528646",21256.80843,5431752,4.6,74.71463415
184,Slovenia,105776,42508.5,"46.1199444, 14.8153333",28439.3341,2111986,1.8,80.87560976
185,Solomon Islands,0,35719.5,"-8.7053941, 159.1070693851845",2205.251805,724273,16.1,70.348
186,Somalia,8639764,913714,"8.3676771, 49.083416",592.103122,17597511,71.1,55.28
187,South Africa,7541347,1622546.5,"-28.8166236, 24.991639",6766.481254,59893885,26.4,62.341
188,South Korea,1854744,2157013.5,"36.638392, 127.6961188",32422.57449,51628117,2.5,83.52682927
189,South Sudan,6185552,654514.5,"7.8699431, 29.6667897",1072,10913164,63.8,54.975
190,Spain,2749469,2106357,"39.3260685, -4.8379791",29674.54429,47778340,2.6,83.17804878
191,Sri Lanka,1465768,975623,"7.5554942, 80.7137847",3354.383408,22181000,5.8,76.399
193,Sudan,15208645,2416002,"10.9, 6.5",1102.146484,46874204,38.9,65.267
194,Suriname,146697,25602.5,"4.1413025, -56.0771187",5858.824661,618040,15.4,70.274
195,Sweden,370950,456656,"59.6749712, 14.5208584",56424.2847,10486941,2,83.15609756
196,Switzerland,128283,362928.5,"46.7985624, 8.2319736",93259.90572,8775760,3.4,83.85121951
197,Syria,0,1019411,"34.6401861, 39.0494106",460.62,22125249,18.4,72.063
198,Tajikistan,0,525996,"38.6281733, 70.8156541",1054.189484,9952787,27.6,71.594
199,Tanzania,23990716,3907434,"-6.5247123, 35.7878438",1192.766479,65497748,34.1,66.201
200,Thailand,16307172,3283746,"7.4931858, 124.724704",6909.956285,71697030,7.1,78.715
201,Timor-Leste,0,65933.5,"-8.7443169, 126.063482",2389.295875,1341296,43.1,67.737
202,Togo,3561713,478214,"8.7800265, 1.0199765",942.6499016,8848699,43.4,61.619
203,Tonga,16483,4773,"-19.9160819, -175.202642",4426,106858,9.6,70.986
204,Trinidad and Tobago,443717,60495.5,"10.7466905, -61.0840075",19629.46534,1531044,14.6,72.971
205,Tunisia,2298565,623657.5,"36.8002068, 10.1857757",3747.419391,12356117,14,73.772
206,Turkey,0,4533716.5,"38.9597594, 34.9249653",10674.50417,84979913,7.7,76.032
207,Turkmenistan,0,271415.5,"39.3763807, 59.3924609",8792.548504,6430770,35.8,69.264
208,Turks and Caicos Islands,0,1656.5,"21.721746, -71.5527809",24917.59581,45703,3.8,74.587
209,Tuvalu,0,529.5,"-8.6405212, 179.1582918181797",5221.532799,11312,18.1,64.547
210,Uganda,21730507,2619312,"1.5333554, 32.2166578",964.3958695,47249585,31.2,62.705
211,Ukraine,6728058,2016487,"49.4871968, 31.2718321",4533.975586,38000000,7,69.64780488
212,United Arab Emirates,470169,524399,"24.0002488, 53.9994829",53707.98008,9441129,5.4,78.71
213,United Kingdom,1584280,2741726,"54.7023545, -3.2765753",46125.25575,66971395,3.7,80.7
215,United States,18594390,12255632,"39.7837304, -100.445882",76329.58227,333287557,5.4,76.32926829
216,United States Virgin Islands,0,4536,"17.789187, -64.7080574",41976,105413,,80.06829268
218,Uruguay,532366,150120.5,"-32.8755548, -56.0201525",20795.04235,3422794,5,75.436
219,Uzbekistan,5318166,1758854.5,"41.32373, 63.9528098",2255.151155,35648100,12.6,70.862
220,Vanuatu,49021,15993.5,"-16.5255069, 168.1069154",3231.3513,326740,19.7,70.449
221,Venezuela,0,1255727.5,"8,-66",15975,28301696,21.1,70.554
222,Viet Nam,4958078,4427703,"15.9266657, 107.9650855",4163.514299,98186856,16.4,73.618
224,Yemen,0,1741522.5,"16.3471243, 47.8915271",650.2722184,33696614,46.7,63.753
225,Zambia,8879464,835539.5,"-14.5189121, 27.5589884",1456.90157,20017675,40.2,61.223
226,Zimbabwe,7721228,843811.5,"-18.4554963, 29.7468414",1676.821489,16320537,35.7,59.253
